,Date
731,"Jun 04, 2019"
732,"Jun 05, 2019"
733,"Jun 06, 2019"
734,"Jun 07, 2019"
735,"Jun 08, 2019"
736,"Jun 09, 2019"
737,"Jun 10, 2019"
738,"Jun 11, 2019"
739,"Jun 12, 2019"
740,"Jun 13, 2019"
741,"Jun 14, 2019"
742,"Jun 15, 2019"
743,"Jun 16, 2019"
744,"Jun 17, 2019"
745,"Jun 18, 2019"
746,"Jun 19, 2019"
747,"Jun 20, 2019"
748,"Jun 21, 2019"
749,"Jun 22, 2019"
750,"Jun 23, 2019"
751,"Jun 24, 2019"
752,"Jun 25, 2019"
753,"Jun 26, 2019"
754,"Jun 27, 2019"
755,"Jun 28, 2019"
756,"Jun 29, 2019"
757,"Jun 30, 2019"
758,"Jul 01, 2019"
759,"Jul 02, 2019"
760,"Jul 03, 2019"
761,"Jul 04, 2019"
762,"Jul 05, 2019"
763,"Jul 06, 2019"
764,"Jul 07, 2019"
765,"Jul 08, 2019"
766,"Jul 09, 2019"
767,"Jul 10, 2019"
768,"Jul 11, 2019"
769,"Jul 12, 2019"
770,"Jul 13, 2019"
771,"Jul 14, 2019"
772,"Jul 15, 2019"
773,"Jul 16, 2019"
774,"Jul 17, 2019"
775,"Jul 18, 2019"
776,"Jul 19, 2019"
777,"Jul 20, 2019"
778,"Jul 21, 2019"
779,"Jul 22, 2019"
780,"Jul 23, 2019"
781,"Jul 24, 2019"
782,"Jul 25, 2019"
783,"Jul 26, 2019"
784,"Jul 27, 2019"
785,"Jul 28, 2019"
786,"Jul 29, 2019"
787,"Jul 30, 2019"
788,"Jul 31, 2019"
789,"Aug 01, 2019"
790,"Aug 02, 2019"
791,"Aug 03, 2019"
792,"Aug 04, 2019"
793,"Aug 05, 2019"
794,"Aug 06, 2019"
795,"Aug 07, 2019"
796,"Aug 08, 2019"
797,"Aug 09, 2019"
798,"Aug 10, 2019"
799,"Aug 11, 2019"
800,"Aug 12, 2019"
801,"Aug 13, 2019"
802,"Aug 14, 2019"
803,"Aug 15, 2019"
804,"Aug 16, 2019"
805,"Aug 17, 2019"
806,"Aug 18, 2019"
807,"Aug 19, 2019"
808,"Aug 20, 2019"
809,"Aug 21, 2019"
810,"Aug 22, 2019"
811,"Aug 23, 2019"
812,"Aug 24, 2019"
813,"Aug 25, 2019"
814,"Aug 26, 2019"
815,"Aug 27, 2019"
816,"Aug 28, 2019"
817,"Aug 29, 2019"
818,"Aug 30, 2019"
819,"Aug 31, 2019"
820,"Sep 01, 2019"
821,"Sep 02, 2019"
822,"Sep 03, 2019"
823,"Sep 04, 2019"
824,"Sep 05, 2019"
825,"Sep 06, 2019"
826,"Sep 07, 2019"
827,"Sep 08, 2019"
828,"Sep 09, 2019"
829,"Sep 10, 2019"
830,"Sep 11, 2019"
831,"Sep 12, 2019"
832,"Sep 13, 2019"
833,"Sep 14, 2019"
834,"Sep 15, 2019"
835,"Sep 16, 2019"
836,"Sep 17, 2019"
837,"Sep 18, 2019"
838,"Sep 19, 2019"
839,"Sep 20, 2019"
840,"Sep 21, 2019"
841,"Sep 22, 2019"
842,"Sep 23, 2019"
843,"Sep 24, 2019"
844,"Sep 25, 2019"
845,"Sep 26, 2019"
846,"Sep 27, 2019"
847,"Sep 28, 2019"
848,"Sep 29, 2019"
849,"Sep 30, 2019"
850,"Oct 01, 2019"
851,"Oct 02, 2019"
852,"Oct 03, 2019"
853,"Oct 04, 2019"
854,"Oct 05, 2019"
855,"Oct 06, 2019"
856,"Oct 07, 2019"
857,"Oct 08, 2019"
858,"Oct 09, 2019"
859,"Oct 10, 2019"
860,"Oct 11, 2019"
861,"Oct 12, 2019"
862,"Oct 13, 2019"
863,"Oct 14, 2019"
864,"Oct 15, 2019"
865,"Oct 16, 2019"
866,"Oct 17, 2019"
867,"Oct 18, 2019"
868,"Oct 19, 2019"
869,"Oct 20, 2019"
870,"Oct 21, 2019"
871,"Oct 22, 2019"
872,"Oct 23, 2019"
873,"Oct 24, 2019"
874,"Oct 25, 2019"
875,"Oct 26, 2019"
876,"Oct 27, 2019"
877,"Oct 28, 2019"
878,"Oct 29, 2019"
879,"Oct 30, 2019"
880,"Oct 31, 2019"
881,"Nov 01, 2019"
882,"Nov 02, 2019"
883,"Nov 03, 2019"
884,"Nov 04, 2019"
885,"Nov 05, 2019"
886,"Nov 06, 2019"
887,"Nov 07, 2019"
888,"Nov 08, 2019"
889,"Nov 09, 2019"
890,"Nov 10, 2019"
891,"Nov 11, 2019"
892,"Nov 12, 2019"
893,"Nov 13, 2019"
894,"Nov 14, 2019"
895,"Nov 15, 2019"
896,"Nov 16, 2019"
897,"Nov 17, 2019"
898,"Nov 18, 2019"
899,"Nov 19, 2019"
900,"Nov 20, 2019"
901,"Nov 21, 2019"
902,"Nov 22, 2019"
903,"Nov 23, 2019"
904,"Nov 24, 2019"
905,"Nov 25, 2019"
906,"Nov 26, 2019"
907,"Nov 27, 2019"
908,"Nov 28, 2019"
909,"Nov 29, 2019"
910,"Nov 30, 2019"
911,"Dec 01, 2019"
912,"Dec 02, 2019"
913,"Dec 03, 2019"
914,"Dec 04, 2019"
915,"Dec 05, 2019"
916,"Dec 06, 2019"
917,"Dec 07, 2019"
918,"Dec 08, 2019"
919,"Dec 09, 2019"
920,"Dec 10, 2019"
921,"Dec 11, 2019"
922,"Dec 12, 2019"
923,"Dec 13, 2019"
924,"Dec 14, 2019"
925,"Dec 15, 2019"
926,"Dec 16, 2019"
927,"Dec 17, 2019"
928,"Dec 18, 2019"
929,"Dec 19, 2019"
930,"Dec 20, 2019"
931,"Dec 21, 2019"
932,"Dec 22, 2019"
933,"Dec 23, 2019"
934,"Dec 24, 2019"
935,"Dec 25, 2019"
936,"Dec 26, 2019"
937,"Dec 27, 2019"
938,"Dec 28, 2019"
939,"Dec 29, 2019"
940,"Dec 30, 2019"
941,"Dec 31, 2019"
942,"Jan 01, 2020"
943,"Jan 02, 2020"
944,"Jan 03, 2020"
945,"Jan 04, 2020"
946,"Jan 05, 2020"
947,"Jan 06, 2020"
948,"Jan 07, 2020"
949,"Jan 08, 2020"
950,"Jan 09, 2020"
951,"Jan 10, 2020"
952,"Jan 11, 2020"
953,"Jan 12, 2020"
954,"Jan 13, 2020"
955,"Jan 14, 2020"
956,"Jan 15, 2020"
957,"Jan 16, 2020"
958,"Jan 17, 2020"
959,"Jan 18, 2020"
960,"Jan 19, 2020"
961,"Jan 20, 2020"
962,"Jan 21, 2020"
963,"Jan 22, 2020"
964,"Jan 23, 2020"
965,"Jan 24, 2020"
966,"Jan 25, 2020"
967,"Jan 26, 2020"
968,"Jan 27, 2020"
969,"Jan 28, 2020"
970,"Jan 29, 2020"
971,"Jan 30, 2020"
972,"Jan 31, 2020"
973,"Feb 01, 2020"
974,"Feb 02, 2020"
975,"Feb 03, 2020"
976,"Feb 04, 2020"
977,"Feb 05, 2020"
978,"Feb 06, 2020"
979,"Feb 07, 2020"
980,"Feb 08, 2020"
981,"Feb 09, 2020"
982,"Feb 10, 2020"
983,"Feb 11, 2020"
984,"Feb 12, 2020"
985,"Feb 13, 2020"
986,"Feb 14, 2020"
987,"Feb 15, 2020"
988,"Feb 16, 2020"
989,"Feb 17, 2020"
990,"Feb 18, 2020"
991,"Feb 19, 2020"
992,"Feb 20, 2020"
993,"Feb 21, 2020"
994,"Feb 22, 2020"
995,"Feb 23, 2020"
996,"Feb 24, 2020"
997,"Feb 25, 2020"
998,"Feb 26, 2020"
999,"Feb 27, 2020"
1000,"Feb 28, 2020"
1001,"Feb 29, 2020"
1002,"Mar 01, 2020"
1003,"Mar 02, 2020"
1004,"Mar 03, 2020"
1005,"Mar 04, 2020"
1006,"Mar 05, 2020"
1007,"Mar 06, 2020"
1008,"Mar 07, 2020"
1009,"Mar 08, 2020"
1010,"Mar 09, 2020"
1011,"Mar 10, 2020"
1012,"Mar 11, 2020"
1013,"Mar 12, 2020"
1014,"Mar 13, 2020"
1015,"Mar 14, 2020"
1016,"Mar 15, 2020"
1017,"Mar 16, 2020"
1018,"Mar 17, 2020"
1019,"Mar 18, 2020"
1020,"Mar 19, 2020"
1021,"Mar 20, 2020"
1022,"Mar 21, 2020"
1023,"Mar 22, 2020"
1024,"Mar 23, 2020"
1025,"Mar 24, 2020"
1026,"Mar 25, 2020"
1027,"Mar 26, 2020"
1028,"Mar 27, 2020"
1029,"Mar 28, 2020"
1030,"Mar 29, 2020"
1031,"Mar 30, 2020"
1032,"Mar 31, 2020"
1033,"Apr 01, 2020"
1034,"Apr 02, 2020"
1035,"Apr 03, 2020"
1036,"Apr 04, 2020"
1037,"Apr 05, 2020"
1038,"Apr 06, 2020"
1039,"Apr 07, 2020"
1040,"Apr 08, 2020"
1041,"Apr 09, 2020"
1042,"Apr 10, 2020"
1043,"Apr 11, 2020"
1044,"Apr 12, 2020"
1045,"Apr 13, 2020"
1046,"Apr 14, 2020"
1047,"Apr 15, 2020"
1048,"Apr 16, 2020"
1049,"Apr 17, 2020"
1050,"Apr 18, 2020"
1051,"Apr 19, 2020"
1052,"Apr 20, 2020"
1053,"Apr 21, 2020"
1054,"Apr 22, 2020"
1055,"Apr 23, 2020"
1056,"Apr 24, 2020"
1057,"Apr 25, 2020"
1058,"Apr 26, 2020"
1059,"Apr 27, 2020"
1060,"Apr 28, 2020"
1061,"Apr 29, 2020"
1062,"Apr 30, 2020"
1063,"May 01, 2020"
1064,"May 02, 2020"
1065,"May 03, 2020"
1066,"May 04, 2020"
1067,"May 05, 2020"
1068,"May 06, 2020"
1069,"May 07, 2020"
1070,"May 08, 2020"
1071,"May 09, 2020"
1072,"May 10, 2020"
1073,"May 11, 2020"
1074,"May 12, 2020"
1075,"May 13, 2020"
1076,"May 14, 2020"
1077,"May 15, 2020"
1078,"May 16, 2020"
1079,"May 17, 2020"
1080,"May 18, 2020"
1081,"May 19, 2020"
1082,"May 20, 2020"
1083,"May 21, 2020"
1084,"May 22, 2020"
1085,"May 23, 2020"
1086,"May 24, 2020"
1087,"May 25, 2020"
1088,"May 26, 2020"
1089,"May 27, 2020"
1090,"May 28, 2020"
1091,"May 29, 2020"
1092,"May 30, 2020"
1093,"May 31, 2020"
1094,"Jun 01, 2020"
1095,"Jun 02, 2020"
1096,"Jun 03, 2020"
1097,"Jun 04, 2020"
1098,"Jun 05, 2020"
1099,"Jun 06, 2020"
1100,"Jun 07, 2020"
1101,"Jun 08, 2020"
1102,"Jun 09, 2020"
1103,"Jun 10, 2020"
1104,"Jun 11, 2020"
1105,"Jun 12, 2020"
1106,"Jun 13, 2020"
1107,"Jun 14, 2020"
1108,"Jun 15, 2020"
1109,"Jun 16, 2020"
1110,"Jun 17, 2020"
1111,"Jun 18, 2020"
1112,"Jun 19, 2020"
1113,"Jun 20, 2020"
1114,"Jun 21, 2020"
1115,"Jun 22, 2020"
1116,"Jun 23, 2020"
1117,"Jun 24, 2020"
1118,"Jun 25, 2020"
1119,"Jun 26, 2020"
1120,"Jun 27, 2020"
1121,"Jun 28, 2020"
1122,"Jun 29, 2020"
1123,"Jun 30, 2020"
1124,"Jul 01, 2020"
1125,"Jul 02, 2020"
1126,"Jul 03, 2020"
1127,"Jul 04, 2020"
1128,"Jul 05, 2020"
1129,"Jul 06, 2020"
1130,"Jul 07, 2020"
1131,"Jul 08, 2020"
1132,"Jul 09, 2020"
1133,"Jul 10, 2020"
1134,"Jul 11, 2020"
1135,"Jul 12, 2020"
1136,"Jul 13, 2020"
1137,"Jul 14, 2020"
1138,"Jul 15, 2020"
1139,"Jul 16, 2020"
1140,"Jul 17, 2020"
1141,"Jul 18, 2020"
1142,"Jul 19, 2020"
1143,"Jul 20, 2020"
1144,"Jul 21, 2020"
1145,"Jul 22, 2020"
1146,"Jul 23, 2020"
1147,"Jul 24, 2020"
1148,"Jul 25, 2020"
1149,"Jul 26, 2020"
1150,"Jul 27, 2020"
1151,"Jul 28, 2020"
1152,"Jul 29, 2020"
1153,"Jul 30, 2020"
1154,"Jul 31, 2020"
1155,"Aug 01, 2020"
1156,"Aug 02, 2020"
1157,"Aug 03, 2020"
1158,"Aug 04, 2020"
1159,"Aug 05, 2020"
1160,"Aug 06, 2020"
1161,"Aug 07, 2020"
1162,"Aug 08, 2020"
1163,"Aug 09, 2020"
1164,"Aug 10, 2020"
1165,"Aug 11, 2020"
1166,"Aug 12, 2020"
1167,"Aug 13, 2020"
1168,"Aug 14, 2020"
1169,"Aug 15, 2020"
1170,"Aug 16, 2020"
1171,"Aug 17, 2020"
1172,"Aug 18, 2020"
1173,"Aug 19, 2020"
1174,"Aug 20, 2020"
1175,"Aug 21, 2020"
1176,"Aug 22, 2020"
1177,"Aug 23, 2020"
1178,"Aug 24, 2020"
1179,"Aug 25, 2020"
1180,"Aug 26, 2020"
1181,"Aug 27, 2020"
1182,"Aug 28, 2020"
1183,"Aug 29, 2020"
1184,"Aug 30, 2020"
1185,"Aug 31, 2020"
1186,"Sep 01, 2020"
1187,"Sep 02, 2020"
1188,"Sep 03, 2020"
1189,"Sep 04, 2020"
1190,"Sep 05, 2020"
1191,"Sep 06, 2020"
1192,"Sep 07, 2020"
1193,"Sep 08, 2020"
1194,"Sep 09, 2020"
1195,"Sep 10, 2020"
1196,"Sep 11, 2020"
1197,"Sep 12, 2020"
1198,"Sep 13, 2020"
1199,"Sep 14, 2020"
1200,"Sep 15, 2020"
1201,"Sep 16, 2020"
1202,"Sep 17, 2020"
1203,"Sep 18, 2020"
1204,"Sep 19, 2020"
1205,"Sep 20, 2020"
1206,"Sep 21, 2020"
1207,"Sep 22, 2020"
1208,"Sep 23, 2020"
1209,"Sep 24, 2020"
1210,"Sep 25, 2020"
1211,"Sep 26, 2020"
1212,"Sep 27, 2020"
1213,"Sep 28, 2020"
1214,"Sep 29, 2020"
1215,"Sep 30, 2020"
1216,"Oct 01, 2020"
1217,"Oct 02, 2020"
1218,"Oct 03, 2020"
1219,"Oct 04, 2020"
1220,"Oct 05, 2020"
1221,"Oct 06, 2020"
1222,"Oct 07, 2020"
1223,"Oct 08, 2020"
1224,"Oct 09, 2020"
1225,"Oct 10, 2020"
1226,"Oct 11, 2020"
1227,"Oct 12, 2020"
1228,"Oct 13, 2020"
1229,"Oct 14, 2020"
1230,"Oct 15, 2020"
1231,"Oct 16, 2020"
1232,"Oct 17, 2020"
1233,"Oct 18, 2020"
1234,"Oct 19, 2020"
1235,"Oct 20, 2020"
1236,"Oct 21, 2020"
1237,"Oct 22, 2020"
1238,"Oct 23, 2020"
1239,"Oct 24, 2020"
1240,"Oct 25, 2020"
1241,"Oct 26, 2020"
1242,"Oct 27, 2020"
1243,"Oct 28, 2020"
1244,"Oct 29, 2020"
1245,"Oct 30, 2020"
1246,"Oct 31, 2020"
1247,"Nov 01, 2020"
1248,"Nov 02, 2020"
1249,"Nov 03, 2020"
1250,"Nov 04, 2020"
1251,"Nov 05, 2020"
1252,"Nov 06, 2020"
1253,"Nov 07, 2020"
1254,"Nov 08, 2020"
1255,"Nov 09, 2020"
1256,"Nov 10, 2020"
1257,"Nov 11, 2020"
1258,"Nov 12, 2020"
1259,"Nov 13, 2020"
1260,"Nov 14, 2020"
1261,"Nov 15, 2020"
1262,"Nov 16, 2020"
1263,"Nov 17, 2020"
1264,"Nov 18, 2020"
1265,"Nov 19, 2020"
1266,"Nov 20, 2020"
1267,"Nov 21, 2020"
1268,"Nov 22, 2020"
1269,"Nov 23, 2020"
1270,"Nov 24, 2020"
1271,"Nov 25, 2020"
1272,"Nov 26, 2020"
1273,"Nov 27, 2020"
1274,"Nov 28, 2020"
1275,"Nov 29, 2020"
1276,"Nov 30, 2020"
1277,"Dec 01, 2020"
1278,"Dec 02, 2020"
1279,"Dec 03, 2020"
1280,"Dec 04, 2020"
1281,"Dec 05, 2020"
1282,"Dec 06, 2020"
1283,"Dec 07, 2020"
1284,"Dec 08, 2020"
1285,"Dec 09, 2020"
1286,"Dec 10, 2020"
1287,"Dec 11, 2020"
1288,"Dec 12, 2020"
1289,"Dec 13, 2020"
1290,"Dec 14, 2020"
1291,"Dec 15, 2020"
1292,"Dec 16, 2020"
1293,"Dec 17, 2020"
1294,"Dec 18, 2020"
1295,"Dec 19, 2020"
1296,"Dec 20, 2020"
1297,"Dec 21, 2020"
1298,"Dec 22, 2020"
1299,"Dec 23, 2020"
1300,"Dec 24, 2020"
1301,"Dec 25, 2020"
1302,"Dec 26, 2020"
1303,"Dec 27, 2020"
1304,"Dec 28, 2020"
1305,"Dec 29, 2020"
1306,"Dec 30, 2020"
1307,"Dec 31, 2020"
1308,"Jan 01, 2021"
1309,"Jan 02, 2021"
1310,"Jan 03, 2021"
1311,"Jan 04, 2021"
1312,"Jan 05, 2021"
1313,"Jan 06, 2021"
1314,"Jan 07, 2021"
1315,"Jan 08, 2021"
1316,"Jan 09, 2021"
1317,"Jan 10, 2021"
1318,"Jan 11, 2021"
1319,"Jan 12, 2021"
1320,"Jan 13, 2021"
1321,"Jan 14, 2021"
1322,"Jan 15, 2021"
1323,"Jan 16, 2021"
1324,"Jan 17, 2021"
1325,"Jan 18, 2021"
1326,"Jan 19, 2021"
1327,"Jan 20, 2021"
1328,"Jan 21, 2021"
1329,"Jan 22, 2021"
1330,"Jan 23, 2021"
1331,"Jan 24, 2021"
1332,"Jan 25, 2021"
1333,"Jan 26, 2021"
1334,"Jan 27, 2021"
1335,"Jan 28, 2021"
1336,"Jan 29, 2021"
1337,"Jan 30, 2021"
1338,"Jan 31, 2021"
1339,"Feb 01, 2021"
1340,"Feb 02, 2021"
1341,"Feb 03, 2021"
1342,"Feb 04, 2021"
1343,"Feb 05, 2021"
1344,"Feb 06, 2021"
1345,"Feb 07, 2021"
1346,"Feb 08, 2021"
1347,"Feb 09, 2021"
1348,"Feb 10, 2021"
1349,"Feb 11, 2021"
1350,"Feb 12, 2021"
1351,"Feb 13, 2021"
1352,"Feb 14, 2021"
1353,"Feb 15, 2021"
1354,"Feb 16, 2021"
1355,"Feb 17, 2021"
1356,"Feb 18, 2021"
1357,"Feb 19, 2021"
1358,"Feb 20, 2021"
1359,"Feb 21, 2021"
1360,"Feb 22, 2021"
1361,"Feb 23, 2021"
1362,"Feb 24, 2021"
1363,"Feb 25, 2021"
1364,"Feb 26, 2021"
1365,"Feb 27, 2021"
1366,"Feb 28, 2021"
1367,"Mar 01, 2021"
1368,"Mar 02, 2021"
1369,"Mar 03, 2021"
1370,"Mar 04, 2021"
1371,"Mar 05, 2021"
1372,"Mar 06, 2021"
1373,"Mar 07, 2021"
1374,"Mar 08, 2021"
1375,"Mar 09, 2021"
1376,"Mar 10, 2021"
1377,"Mar 11, 2021"
1378,"Mar 12, 2021"
1379,"Mar 13, 2021"
1380,"Mar 14, 2021"
1381,"Mar 15, 2021"
1382,"Mar 16, 2021"
1383,"Mar 17, 2021"
1384,"Mar 18, 2021"
1385,"Mar 19, 2021"
1386,"Mar 20, 2021"
1387,"Mar 21, 2021"
1388,"Mar 22, 2021"
1389,"Mar 23, 2021"
1390,"Mar 24, 2021"
1391,"Mar 25, 2021"
1392,"Mar 26, 2021"
1393,"Mar 27, 2021"
1394,"Mar 28, 2021"
1395,"Mar 29, 2021"
1396,"Mar 30, 2021"
1397,"Mar 31, 2021"
1398,"Apr 01, 2021"
1399,"Apr 02, 2021"
1400,"Apr 03, 2021"
1401,"Apr 04, 2021"
1402,"Apr 05, 2021"
1403,"Apr 06, 2021"
1404,"Apr 07, 2021"
1405,"Apr 08, 2021"
1406,"Apr 09, 2021"
1407,"Apr 10, 2021"
1408,"Apr 11, 2021"
1409,"Apr 12, 2021"
1410,"Apr 13, 2021"
1411,"Apr 14, 2021"
1412,"Apr 15, 2021"
1413,"Apr 16, 2021"
1414,"Apr 17, 2021"
1415,"Apr 18, 2021"
1416,"Apr 19, 2021"
1417,"Apr 20, 2021"
1418,"Apr 21, 2021"
1419,"Apr 22, 2021"
1420,"Apr 23, 2021"
1421,"Apr 24, 2021"
1422,"Apr 25, 2021"
1423,"Apr 26, 2021"
1424,"Apr 27, 2021"
1425,"Apr 28, 2021"
1426,"Apr 29, 2021"
1427,"Apr 30, 2021"
1428,"May 01, 2021"
1429,"May 02, 2021"
1430,"May 03, 2021"
1431,"May 04, 2021"
1432,"May 05, 2021"
1433,"May 06, 2021"
1434,"May 07, 2021"
